,group1,group2,test_stat,p_value
182,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'PRISM', 'xgb')",209.0,0.9970841753829518
183,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",333.0,0.8494692436606783
184,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",297.0,0.9028245097622163
185,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",295.0,0.939300599076887
186,"('gigapath', 'gabmil-1_heads', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",336.0,0.8398459694744815
187,"('gigapath', 'gabmil-1_heads', 'MLP')","('resnet18', 'GAP', 'MLP')",791.0,1.5816112863831222e-09
188,"('gigapath', 'gabmil-1_heads', 'MLP')","('resnet18', 'GAP', 'lr')",812.0,2.2737367544323206e-11
189,"('gigapath', 'gabmil-1_heads', 'MLP')","('resnet18', 'GAP', 'xgb')",802.0,2.3010215954855084e-10
190,"('gigapath', 'gabmil-1_heads', 'MLP')","('resnet18', 'abmil-1_heads', 'MLP')",809.0,5.002220859751105e-11
191,"('gigapath', 'gabmil-1_heads', 'MLP')","('resnet18', 'abmil-8_heads', 'MLP')",810.0,3.9108272176235914e-11
192,"('gigapath', 'gabmil-1_heads', 'MLP')","('resnet18', 'gabmil-1_heads', 'MLP')",808.0,6.366462912410498e-11
193,"('gigapath', 'gabmil-1_heads', 'MLP')","('resnet18', 'gabmil-8_heads', 'MLP')",814.0,1.2732925824820995e-11
194,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'GAP', 'MLP')",766.0,4.6134118747431785e-08
195,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'GAP', 'lr')",629.0,0.0013194854554967606
196,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'GAP', 'xgb')",747.0,3.5687207855517045e-07
197,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",179.0,0.9983826391049143
198,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",340.0,0.757333190899425
199,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",222.0,0.9949012884217154
200,"('gigapath', 'gabmil-1_heads', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",269.0,0.9717082877605208
201,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'MLP')",766.0,7.72647327889404e-08
202,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",772.0,2.2373569663614035e-08
203,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_cls', 'xgb')",817.0,4.547473508864641e-12
204,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'MLP')",802.0,2.3010215954855084e-10
205,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'lr')",767.0,4.10136635764502e-08
206,"('gigapath', 'gabmil-8_heads', 'MLP')","('gigapath', 'gigapath_pool', 'xgb')",763.0,9.68864684524409e-08
207,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'GAP', 'MLP')",773.0,1.97442204807885e-08
208,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'GAP', 'lr')",682.0,6.57728796795709e-05
209,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'GAP', 'xgb')",814.0,1.2732925824820995e-11
210,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'PRISM', 'MLP')",130.0,0.9999640099131284
211,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'PRISM', 'lr')",215.0,0.9962075685407399
212,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'PRISM', 'xgb')",214.0,0.9963679672582657
213,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'abmil-1_heads', 'MLP')",363.0,0.7363933304495731
214,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'abmil-8_heads', 'MLP')",330.0,0.8587079439075751
215,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'gabmil-1_heads', 'MLP')",297.0,0.9028245097622163
216,"('gigapath', 'gabmil-8_heads', 'MLP')","('prism', 'gabmil-8_heads', 'MLP')",348.0,0.627901760826005
217,"('gigapath', 'gabmil-8_heads', 'MLP')","('resnet18', 'GAP', 'MLP')",794.0,9.722498361952603e-10
218,"('gigapath', 'gabmil-8_heads', 'MLP')","('resnet18', 'GAP', 'lr')",815.0,9.094947017729282e-12
219,"('gigapath', 'gabmil-8_heads', 'MLP')","('resnet18', 'GAP', 'xgb')",803.0,1.8826540326699615e-10
220,"('gigapath', 'gabmil-8_heads', 'MLP')","('resnet18', 'abmil-1_heads', 'MLP')",812.0,2.2737367544323206e-11
221,"('gigapath', 'gabmil-8_heads', 'MLP')","('resnet18', 'abmil-8_heads', 'MLP')",815.0,9.094947017729282e-12
222,"('gigapath', 'gabmil-8_heads', 'MLP')","('resnet18', 'gabmil-1_heads', 'MLP')",813.0,1.7280399333685637e-11
223,"('gigapath', 'gabmil-8_heads', 'MLP')","('resnet18', 'gabmil-8_heads', 'MLP')",815.0,9.094947017729282e-12
224,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'GAP', 'MLP')",740.0,7.025937520666048e-07
225,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'GAP', 'lr')",655.0,0.00033773328959796345
226,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'GAP', 'xgb')",727.0,2.2638150767306797e-06
227,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'abmil-1_heads', 'MLP')",185.0,0.9964292414605401
228,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'abmil-8_heads', 'MLP')",333.0,0.8494692436606783
229,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'gabmil-1_heads', 'MLP')",224.0,0.9831893043330204
230,"('gigapath', 'gabmil-8_heads', 'MLP')","('uni', 'gabmil-8_heads', 'MLP')",264.0,0.9759177575260765
231,"('gigapath', 'gigapath_cls', 'MLP')","('gigapath', 'gigapath_cls', 'lr')",13.0,0.9999999999363354
